Interval=	0.0025 s
ExcelDateTime=	4.6071576883843394e+004	2/18/2026 13:50:42.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
237.77	-23.725
237.7725	-23.70625
237.775	-21.8625
237.7775	-20.9
237.78	-22.1125
237.7825	-24.51875
237.785	-25.6375
237.7875	-22.975
237.79	-16.9125
237.7925	-11.3375
237.795	-9.78125
237.7975	-12.1875
237.8	-15.75625
237.8025	-17.76875
237.805	-18.14375
237.8075	-18.60625
237.81	-19.625
237.8125	-20.20625
237.815	-20.1375
237.8175	-20.2125
237.82	-20.79375
237.8225	-21.7
237.825	-22.8375
237.8275	-24.925
237.83	-28.2125
237.8325	-31.34375
237.835	-32.075
237.8375	-29.38125
237.84	-25.475
237.8425	-23.85625
237.845	-25.425
237.8475	-28.59375
237.85	-31.86875
237.8525	-33.78125
237.855	-33.625
237.8575	-32.59375
237.86	-31.3125
237.8625	-29.025
237.865	-26.18125
237.8675	-24.08125
237.87	-22.4125
237.8725	-20.1
237.875	-17.08125
237.8775	-14.13125
237.88	-12.25
237.8825	-11.6125
237.885	-10.725
237.8875	-7.95
237.89	-3.95
237.8925	-1.11875
237.895	-0.7625
237.8975	-1.98125
237.9	-3.35
237.9025	-3.6875
237.905	-2.41875
237.9075	-1.20625
237.91	-2.6625
237.9125	-6.99375
237.915	-12.01875
237.9175	-14.9875
237.92	-14.00625
237.9225	-9.14375
237.925	-2.54375
237.9275	1.99375
237.93	0.90625
237.9325	-6.25
237.935	-16.06875
237.9375	-24.0625
237.94	-28.73125
237.9425	-31.99375
237.945	-35.2
237.9475	-37.6875
237.95	-38.98125
237.9525	-38.61875
237.955	-35.25625
237.9575	-29.41875
237.96	-24.40625
237.9625	-22.71875
237.965	-23.09375
237.9675	-22.29375
237.97	-18.725
237.9725	-13.80625
237.975	-9.6875
237.9775	-7.11875
237.98	-6.49375
237.9825	-7.8375
237.985	-9.45
237.9875	-9.2375
237.99	-7.50625
237.9925	-6.45625
237.995	-7.15625
237.9975	-8.34375
238	-8
238.0025	-4.9625
238.005	0.20625
238.0075	4.39375
238.01	4.3125
238.0125	0.86875
238.015	-2.08125
238.0175	-2.83125
238.02	-3.14375
238.0225	-5.7
238.025	-11.40625
238.0275	-18.54375
238.03	-24.29375
238.0325	-27.2625
238.035	-28.35
238.0375	-30.01875
238.04	-33.86875
238.0425	-38.5125
238.045	-41.56875
238.0475	-42.7
238.05	-42.84375
238.0525	-42.05
238.055	-40.725
238.0575	-40.14375
238.06	-40.54375
238.0625	-39.95625
238.065	-35.78125
238.0675	-27.08125
238.07	-15.775
238.0725	-5.825
238.075	0.49375
238.0775	4.25625
238.08	7.00625
238.0825	8.79375
238.085	10.26875
238.0875	12.5875
238.09	14.4625
238.0925	14.2125
238.095	13.3375
238.0975	14.26875
238.1	16.34375
238.1025	16.84375
238.105	14.0375
238.1075	8.45
238.11	2.26875
238.1125	-3.2625
238.115	-8.04375
238.1175	-12.41875
238.12	-16.675
238.1225	-20.65
238.125	-24.775
238.1275	-29.85625
238.13	-36
238.1325	-42.63125
