Interval=	0.0025 s
ExcelDateTime=	4.6071577265787841e+004	2/18/2026 13:51:15.76407
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
270.8	-2.125
270.8025	-4.8625
270.805	-7.7625
270.8075	-8.94375
270.81	-6.88125
270.8125	-2.20625
270.815	1.59375
270.8175	1.975
270.82	0.0625
270.8225	-1.53125
270.825	-1.45625
270.8275	-0.25625
270.83	0.525
270.8325	0.04375
270.835	-0.86875
270.8375	-0.94375
270.84	-0.2625
270.8425	0.4375
270.845	0.9125
270.8475	0.51875
270.85	-1.68125
270.8525	-5.48125
270.855	-8.9875
270.8575	-9.825
270.86	-7.7625
270.8625	-4.76875
270.865	-3.025
270.8675	-3.23125
270.87	-4.55625
270.8725	-5.16875
270.875	-3.51875
270.8775	0
270.88	2.8875
270.8825	2.81875
270.885	-0.075
270.8875	-3.425
270.89	-4.28125
270.8925	-2.0625
270.895	0.65625
270.8975	1.31875
270.9	-0.33125
270.9025	-3.13125
270.905	-5.3625
270.9075	-5.2
270.91	-2.85
270.9125	-0.45625
270.915	0.55
270.9175	0.41875
270.92	0.1375
270.9225	1.0625
270.925	3.125
270.9275	4.03125
270.93	2.8875
270.9325	0.9
270.935	-2.275
270.9375	-7.55
270.94	-12.225
270.9425	-12.6
270.945	-9.075
270.9475	-5.34375
270.95	-3.95
270.9525	-4.91875
270.955	-6.8125
270.9575	-7.46875
270.96	-5.96875
270.9625	-4.175
270.965	-4.10625
270.9675	-5.54375
270.97	-7.7375
270.9725	-10.0875
270.975	-11.2875
270.9775	-10.8125
270.98	-9.54375
270.9825	-7.89375
270.985	-5.6375
270.9875	-3.5
270.99	-2.39375
270.9925	-1.95
270.995	-1.35625
270.9975	-1.475
271	-4.0625
271.0025	-8.43125
271.005	-11.79375
271.0075	-12.85
271.01	-12.73125
271.0125	-12.5875
271.015	-13.2625
271.0175	-15.6375
271.02	-18.9125
271.0225	-20.7125
271.025	-20.43125
271.0275	-19.75625
271.03	-19.6
271.0325	-19.75625
271.035	-20.08125
271.0375	-20.7
271.04	-21.275
271.0425	-20.75
271.045	-19.24375
271.0475	-18.425
271.05	-19.11875
271.0525	-20.5625
271.055	-21.74375
271.0575	-21.475
271.06	-19.11875
271.0625	-16.0375
271.065	-13.58125
271.0675	-11.35625
271.07	-9.7375
271.0725	-9.90625
271.075	-11.0875
271.0775	-12.06875
271.08	-12.975
271.0825	-14.35625
271.085	-16.2625
271.0875	-18.55625
271.09	-20.56875
271.0925	-20.6875
271.095	-17.93125
271.0975	-14.0125
271.1	-11.11875
271.1025	-8.75625
271.105	-5.7625
