Interval=	0.0025 s
ExcelDateTime=	4.3516512530854234e+004	2/20/2019 12:18:02.665806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0.995	41.075
0.9975	49.65625
1	43.14375
1.0025	27.35
1.005	14.09375
1.0075	13.575
1.01	26.25
1.0125	40.73125
1.015	43.775
1.0175	32.65625
1.02	16.1875
1.0225	7.7375
1.025	15.9375
1.0275	35.5625
1.03	48.9875
1.0325	43.70625
1.035	24.05
1.0375	5.31875
1.04	0.11875
1.0425	10.08125
1.045	26.36875
1.0475	36.05
1.05	31.01875
1.0525	14.2375
1.055	-1.26875
1.0575	-2.30625
1.06	13.59375
1.0625	35.69375
1.065	50.69375
1.0675	52.00625
1.07	40.60625
1.0725	24.95
1.075	15.7875
1.0775	16.55
1.08	20.8
1.0825	19.20625
1.085	7.40625
1.0875	-8.5875
1.09	-16.275
1.0925	-9.64375
1.095	4.3125
1.0975	13.09375
1.1	10.28125
1.1025	-1.16875
1.105	-11.21875
1.1075	-9.28125
1.11	5.6875
1.1125	22.35625
1.115	28.1125
1.1175	20.1625
1.12	5.45
1.1225	-5.6375
1.125	-6.89375
1.1275	-0.48125
1.13	4.50625
1.1325	-0.00625
1.135	-14.03125
1.1375	-29.25625
1.14	-34.625
1.1425	-24.625
1.145	-5.19375
1.1475	8.90625
1.15	6.35625
1.1525	-9.975
1.155	-24.325
1.1575	-22.46875
1.16	-3.08125
1.1625	22.8375
1.165	38.55625
1.1675	32.3375
1.17	7.84375
1.1725	-17.24375
1.175	-25.40625
1.1775	-13.63125
1.18	3.35625
1.1825	7.50625
1.185	-4.85625
1.1875	-21.05625
1.19	-24.7375
1.1925	-11.55625
1.195	5.98125
1.1975	10.15
1.2	-3.49375
1.2025	-22.55
1.205	-31.925
1.2075	-26.4875
1.21	-10.85
1.2125	5.71875
1.215	13.6375
1.2175	8.26875
1.22	-6.09375
1.2225	-18.05625
1.225	-18.625
1.2275	-8.83125
1.23	2.3875
1.2325	6.1375
1.235	0.69375
1.2375	-6.73125
1.24	-7.50625
1.2425	0.26875
1.245	11.08125
1.2475	15.9875
1.25	9.40625
1.2525	-5.69375
1.255	-19.20625
1.2575	-21.475
1.26	-11.25
1.2625	2.59375
1.265	8.69375
1.2675	3.05
1.27	-8.18125
1.2725	-13.56875
1.275	-5.3875
1.2775	14.28125
1.28	35.05625
1.2825	45.23125
1.285	38.675
1.2875	20.125
1.29	3.9625
1.2925	1.95
1.295	11.58125
1.2975	20.29375
1.3	17.79375
1.3025	3.4625
1.305	-12.875
1.3075	-18.98125
1.31	-11.38125
1.3125	0.55625
1.315	3.875
1.3175	-4.88125
1.32	-17.40625
1.3225	-22.775
1.325	-16.2
1.3275	-1.35625
1.33	11.20625
1.3325	12.0625
1.335	1.41875
1.3375	-11.15625
1.34	-14.3
1.3425	-3.56875
1.345	13.51875
1.3475	23.34375
1.35	19.95
1.3525	10.025
1.355	5.4
1.3575	12.83125
1.36	28.68125
1.3625	42.25
1.365	44.58125
1.3675	35.2
