Interval=	0.0025 s
ExcelDateTime=	4.3516510790784792e+004	2/20/2019 12:15:32.323806
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
0.8475	-83.2375
0.85	-78.3625
0.8525	-57.95
0.855	-37.04375
0.8575	-29.9625
0.86	-38.21875
0.8625	-51.6
0.865	-59.14375
0.8675	-55.80625
0.87	-45.4375
0.8725	-39.44375
0.875	-46.225
0.8775	-62.775
0.88	-77.2125
0.8825	-76.625
0.885	-58.04375
0.8875	-35.89375
0.89	-28.85625
0.8925	-39.61875
0.895	-54.29375
0.8975	-58.38125
0.9	-49.7625
0.9025	-37.125
0.905	-30.45625
0.9075	-35.03125
0.91	-49.39375
0.9125	-62.75
0.915	-61.675
0.9175	-44.58125
0.92	-23.475
0.9225	-12.375
0.925	-16.5375
0.9275	-29.8375
0.93	-40.975
0.9325	-41.26875
0.935	-29
0.9375	-12.075
0.94	-3.75
0.9425	-10.75
0.945	-27.15625
0.9475	-39
0.95	-35.2125
0.9525	-17.95625
0.955	-1.3125
0.9575	1.6125
0.96	-10.24375
0.9625	-24.925
0.965	-28.4375
0.9675	-17.875
0.97	-2.9875
0.9725	3.20625
0.975	-4.00625
0.9775	-18.53125
0.98	-29.95625
0.9825	-29.8125
0.985	-16.84375
0.9875	-1.01875
0.99	4.41875
0.9925	-3.5125
0.995	-16.35
0.9975	-23.75
1	-20.575
1.0025	-9.975
1.005	-2.04375
1.0075	-6.3375
1.01	-23.1125
1.0125	-39.9125
1.015	-42.4375
1.0175	-28.79375
1.02	-11.08125
1.0225	-3.85625
1.025	-12.83125
1.0275	-30.43125
1.03	-41.99375
1.0325	-37.29375
1.035	-17.79375
1.0375	3.3625
1.04	12.425
1.0425	6.28125
1.045	-7.09375
1.0475	-14.8875
1.05	-9.0375
1.0525	3.7125
1.055	6.58125
1.0575	-7.7625
1.06	-29.70625
1.0625	-44.29375
1.065	-42.89375
1.0675	-26.50625
1.07	-4.9875
1.0725	7.775
1.075	2.6
1.0775	-14.1625
1.08	-24.9875
1.0825	-20.7375
1.085	-6.48125
1.0875	6.46875
1.09	6.775
1.0925	-8.05
1.095	-27.08125
1.0975	-36.2
1.1	-28.9875
1.1025	-10.08125
1.105	8.06875
1.1075	14.96875
1.11	9.625
1.1125	0.61875
1.115	-2.90625
1.1175	-0.6
1.12	2.79375
1.1225	4.6125
1.125	0.96875
1.1275	-11.73125
1.13	-26.35
1.1325	-31.325
1.135	-24.5625
1.1375	-14.01875
1.14	-10.43125
1.1425	-18.7125
1.145	-31.83125
1.1475	-39.075
1.15	-35.0875
1.1525	-23.51875
1.155	-16.4625
1.1575	-22.275
1.16	-36.7
1.1625	-50.5
1.165	-57.23125
1.1675	-52.3375
1.17	-37.05625
1.1725	-22.05
1.175	-20.0625
1.1775	-32.2
1.18	-46.2125
1.1825	-50.4375
1.185	-43.04375
1.1875	-31.73125
1.19	-26.5625
1.1925	-30.83125
1.195	-40.025
1.1975	-45.8125
1.2	-42.225
1.2025	-32.95
1.205	-28.9
1.2075	-35.25625
1.21	-48.48125
1.2125	-59.725
1.215	-58.725
1.2175	-44.9125
1.22	-30.20625
1.2225	-26.0625
1.225	-33.46875
1.2275	-45.05
1.23	-50.2125
1.2325	-44.6
1.235	-34.45625
1.2375	-28.6375
1.24	-30.8
1.2425	-39.26875
1.245	-48.5625
1.2475	-51.575
1.25	-44.46875
